Time,Flux,+-
50115.060567,1.522E-10,1.7E-12
50122.61316,1.408E-10,1.29E-12
50133.116586,1.708E-10,4.843E-12
50137.722419,2.136E-10,1.433E-12
50143.863437,1.8E-10,2.912E-12
50148.556956,1.662E-10,1.316E-12
50155.139549,1.463E-10,1.518E-12
50164.214178,1.535E-10,1.233E-12
50187.430567,1.056E-10,7.307E-13
50194.236586,8.834E-11,1.01E-12
50199.828808,6.928E-11,8.187E-13
50211.580289,8.299E-11,7.23E-13
50213.768623,8.69E-11,1.296E-12
50224.514456,8.202E-11,1.413E-12
50233.406678,8.222E-11,9.574E-13
50240.745752,9.234E-11,1.111E-12
50243.595845,9.235E-11,1.044E-12
50252.6039,9.215E-11,8.99E-13
50258.420382,7.148E-11,7.015E-13
50265.633438,8.544E-11,1.08E-12
50271.877326,7.995E-11,9.516E-13
50279.770845,8.882E-11,1.149E-12
50281.105475,7.581E-11,1.851E-13
50281.394271,7.816E-11,2.256E-13
50281.600197,8.057E-11,4.136E-13
50282.072141,8.197E-11,1.777E-13
50282.375104,8.471E-11,2.042E-13
50282.56816,8.357E-11,6.752E-13
50288.306678,6.621E-11,7.237E-13
50295.974086,7.778E-11,7.426E-13
50300.902326,8.369E-11,9.924E-13
50308.192604,1.195E-10,1.136E-12
50316.19316,8.282E-11,1.02E-12
50319.054178,8.324E-11,5.776E-13
50390.638993,1.488E-10,1.014E-12
50400.826956,2.035E-10,9.435E-13
50405.637512,2.035E-10,1.221E-12
50411.846771,1.751E-10,1.003E-12
50419.98853,1.517E-10,9.281E-13
50427.838438,1.504E-10,8.569E-13
50432.859826,1.52E-10,7.872E-13
50440.913623,1.312E-10,1.067E-12
50441.787789,1.415E-10,9.957E-13
50442.196586,1.384E-10,1.115E-12
50442.662975,1.345E-10,1.55E-12
50443.120938,1.331E-10,2.031E-12
50443.580289,1.353E-10,1.552E-12
50444.120938,1.404E-10,1.84E-12
50444.647604,1.35E-10,8.175E-13
50445.119919,1.328E-10,1.2E-12
50445.714271,1.339E-10,9.814E-13
50446.120197,1.315E-10,1.125E-12
50446.665567,1.253E-10,1.194E-12
