Time,Flux,+-
50390.609549,3.275E-11,3.946E-13
50393.471586,3.389E-11,5.315E-13
50396.678252,3.076E-11,5.699E-13
50399.120289,3.107E-11,4.955E-13
50402.7439,3.204E-11,4.922E-13
50405.598252,2.828E-11,5.568E-13
50408.52566,2.862E-11,4.283E-13
50411.606771,2.816E-11,4.941E-13
50414.677789,2.784E-11,7.321E-13
50417.396771,2.398E-11,7.289E-13
50420.017604,3.096E-11,4.606E-13
50423.279178,2.757E-11,4.488E-13
50426.184641,2.804E-11,4.364E-13
50428.756678,2.777E-11,3.589E-13
50432.358252,3.397E-11,4.094E-13
50435.43066,3.14E-11,4.104E-13
50438.48066,2.742E-11,4.2E-13
50441.826771,2.676E-11,6.126E-13
50444.154641,2.969E-11,4.803E-13
50447.707049,3.753E-11,5.303E-13
50450.087882,4.219E-11,8.578E-13
50453.710567,3.478E-11,6.339E-13
50455.950382,3.421E-11,4.664E-13
50459.235625,3.269E-11,4.614E-13
50462.644363,2.89E-11,5.967E-13
50465.295012,2.527E-11,3.914E-13
50468.365752,2.776E-11,5.989E-13
50471.577141,3.786E-11,9.577E-13
50474.249919,3.247E-11,6.143E-13
50477.049641,3.289E-11,4.232E-13
50480.112697,3.353E-11,4.232E-13
50483.1139,3.74E-11,4.897E-13
50486.371308,2.92E-11,8.091E-13
50489.190752,3.994E-11,6.274E-13
50492.378623,3.207E-11,3.987E-13
50495.335938,3.549E-11,4.489E-13
50497.982326,3.437E-11,4.656E-13
50501.244826,3.452E-11,4.173E-13
50504.336308,3.474E-11,4.236E-13
50506.912882,3.636E-11,5.317E-13
50510.846586,2.629E-11,4.79E-13
50512.273067,2.938E-11,7.167E-13
50513.852882,3.331E-11,5.745E-13
50516.070104,3.3E-11,4.729E-13
50519.190475,3.498E-11,6.133E-13
50522.712512,2.946E-11,4.223E-13
50525.741308,3.217E-11,4.332E-13
50528.215104,3.314E-11,6.146E-13
50531.686123,2.333E-11,4.126E-13
50534.22353,2.66E-11,3.973E-13
50537.464271,1.61E-11,4.184E-13
50540.403808,1.857E-11,3.633E-13
50543.158345,1.821E-11,4.131E-13
50546.161863,2.216E-11,4.963E-13
50549.494086,2.553E-11,4.986E-13
50552.8089,2.204E-11,4.223E-13
50555.205382,2.178E-11,3.778E-13
50558.023623,2.133E-11,3.406E-13
50561.019549,2.474E-11,4.008E-13
50564.877141,2.805E-11,4.411E-13
50567.941678,2.717E-11,3.944E-13
50570.156678,2.773E-11,4.868E-13
50573.689271,2.825E-11,3.518E-13
50576.368808,2.675E-11,5.047E-13
50579.089363,2.701E-11,6.156E-13
50582.438623,2.459E-11,8.694E-13
50585.235567,2.438E-11,4.355E-13
50588.007882,1.898E-11,6.18E-13
50591.883993,2.221E-11,1.564E-12
50594.377697,2.398E-11,4.055E-13
50597.323252,1.913E-11,5.21E-13
50598.323993,1.933E-11,5.796E-13
50603.987697,2.054E-11,3.902E-13
50606.776493,1.756E-11,4.236E-13
50609.915382,2.401E-11,4.471E-13
50612.188345,2.042E-11,5.324E-13
50615.327234,2.061E-11,7.397E-13
50618.261493,2.507E-11,7.719E-13
50621.721586,2.451E-11,4.016E-13
50624.262419,2.275E-11,1.542E-12
50627.052141,2.24E-11,5.985E-13
50630.193889,2.47E-11,8.037E-13
50633.797222,2.577E-11,3.97E-13
50636.323796,2.747E-11,3.923E-13
50639.162778,2.369E-11,1.273E-12
50642.920093,2.453E-11,5.018E-13
50645.921389,2.869E-11,4.397E-13
