Time,Flux,+-
50196.491863,1.626E-11,1.19E-12
50209.563252,2.874E-11,6.347E-13
50217.371678,3.039E-11,7.564E-13
50220.94566,3.599E-11,1.29E-12
50223.447419,2.014E-11,7.879E-13
50223.807141,1.192E-11,6.804E-13
50224.253715,1.1E-11,5.377E-13
50224.946678,2.455E-11,8.737E-13
50225.181215,2.845E-11,5.849E-13
50227.124363,2.821E-11,7.027E-13
50228.447419,3.051E-11,8.152E-13
50228.815104,6.485E-11,1.487E-12
50230.351308,2.247E-11,1.024E-12
50231.915289,2.942E-11,1.454E-12
50232.319734,1.168E-11,5.134E-13
50232.98603,3.278E-11,9.635E-13
50239.466956,2.459E-11,1.055E-12
50243.461956,3.032E-11,1.065E-12
50258.3964,1.767E-11,4.58E-12
50265.620475,4.227E-11,8.682E-13
50273.079271,3.292E-11,8.245E-13
50279.781863,3.836E-11,9.306E-13
50296.290197,3.315E-11,1.038E-13
50300.88853,3.312E-11,7.566E-13
50316.169641,4.368E-11,1.028E-12
50322.228067,5.55E-11,1.011E-12
50338.047049,8.833E-12,5.106E-13
50342.082141,3.171E-11,8.198E-13
50352.808438,4.678E-11,9.416E-13
50358.604456,2.301E-11,5.638E-13
50360.020382,3.163E-11,8.781E-13
50361.531493,2.333E-11,7.706E-13
50362.520845,4.962E-11,1.784E-12
50363.194641,2.146E-11,9.381E-13
50364.187512,3.328E-11,8.365E-13
50365.190845,2.064E-11,7.425E-13
50367.812049,3.481E-11,9.06E-13
50368.855104,4.617E-11,1.082E-12
50369.886308,4.221E-11,9.536E-13
50370.588623,1.608E-11,7.798E-13
50371.601123,2.398E-11,5.589E-13
50372.602049,1.708E-11,7.282E-13
50373.745752,2.816E-11,8.519E-13
50374.890382,2.568E-11,9.421E-13
50375.81566,1.716E-11,4.895E-13
50376.81603,2.866E-11,5.999E-13
50377.816863,4.088E-11,8.354E-13
50378.572604,3.478E-11,2.887E-12
50380.221123,3.687E-11,2.565E-12
50381.468345,3.609E-11,1.057E-12
50382.539826,1.971E-11,7.522E-13
50383.540197,2.608E-11,9.498E-13
50384.61103,3.601E-11,8.966E-13
50385.777419,4.89E-11,1.387E-12
50386.472882,3.409E-11,1.171E-12
50387.810104,1.802E-11,6.572E-13
50397.748808,1.936E-11,5.56E-13
50411.760845,2.176E-11,6.851E-13
50427.822882,2.337E-11,7.992E-13
50430.089826,2.63E-11,3.509E-13
50430.53816,5.228E-12,2.156E-13
50430.880382,8.152E-12,1.318E-13
50431.1289,5.156E-12,1.769E-13
50431.346863,7.909E-12,3.646E-13
50431.993808,1.163E-11,1.793E-13
50432.242975,2.076E-11,3.65E-13
50432.527234,2.358E-11,3.672E-13
50432.7489,1.561E-11,2.417E-13
50437.43816,4.028E-11,7.767E-13
50451.582882,6.974E-11,1.732E-12
