Tau,SF,+-
3.26578,1.53958e-23,4.05606e-25
6.53156,1.74196e-23,4.52171e-25
9.79733,2.38717e-23,6.22491e-25
13.0631,2.40269e-23,7.19771e-25
16.3289,2.78824e-23,8.21684e-25
19.5947,2.4896e-23,9.84086e-25
22.8604,2.54659e-23,1.01429e-24
26.1262,2.83147e-23,1.32955e-24
29.392,2.77447e-23,1.34427e-24
32.6578,3.21567e-23,1.92488e-24
35.9236,3.87919e-23,3.20092e-24
39.1893,3.66996e-23,2.71354e-24
42.4551,3.81909e-23,2.63105e-24
45.7209,3.3919e-23,2.29916e-24
48.9867,2.67315e-23,2.68191e-24
52.2524,3.07721e-23,2.36507e-24
55.5182,3.18207e-23,2.41217e-24
58.784,3.03045e-23,2.29949e-24
62.0498,2.30348e-23,2.21162e-24
65.3156,2.87339e-23,2.41021e-24
68.5813,2.88031e-23,2.64405e-24
71.8471,3.07276e-23,2.7448e-24
75.1129,2.14937e-23,2.37435e-24
78.3787,3.80141e-23,3.20231e-24
81.6444,3.90019e-23,3.2411e-24
84.9102,4.27814e-23,3.5321e-24
88.176,4.38838e-23,3.50898e-24
91.4418,5.27052e-23,4.89501e-24
94.7076,5.15656e-23,3.83582e-24
97.9733,5.40546e-23,4.00916e-24
101.239,5.33185e-23,3.76234e-24
104.505,5.57995e-23,4.39703e-24
107.771,5.38335e-23,3.35081e-24
111.036,5.58042e-23,3.42219e-24
114.302,6.0427e-23,3.99516e-24
117.568,7.20234e-23,5.7964e-24
120.834,6.41697e-23,4.33569e-24
124.1,6.37163e-23,4.37936e-24
127.365,6.31243e-23,4.22355e-24
130.631,6.13434e-23,4.406e-24
133.897,6.17015e-23,4.65963e-24
137.163,5.56891e-23,3.53232e-24
140.428,5.27174e-23,3.24094e-24
143.694,5.37995e-23,3.38681e-24
146.96,4.07885e-23,3.15212e-24
150.226,4.69911e-23,3.06173e-24
153.492,4.27481e-23,3.32305e-24
156.757,4.1984e-23,3.42734e-24
160.023,2.41588e-23,2.39088e-24
163.289,3.92791e-23,3.27487e-24
166.555,3.57055e-23,3.28136e-24
169.82,3.44853e-23,3.08759e-24
173.086,2.07018e-23,2.17154e-24
176.352,4.00425e-23,3.10724e-24
179.618,4.01753e-23,3.24903e-24
182.884,4.11321e-23,3.23146e-24
186.149,4.52166e-23,3.71429e-24
189.415,4.04411e-23,3.30078e-24
192.681,5.10758e-23,4.03644e-24
195.947,4.76181e-23,3.88733e-24
199.212,4.73313e-23,3.93768e-24
202.478,3.41665e-23,2.94362e-24
205.744,4.90185e-23,4.06256e-24
209.01,4.6342e-23,3.92411e-24
212.276,4.96143e-23,4.22351e-24
215.541,3.03789e-23,2.8904e-24
218.807,4.66424e-23,4.39179e-24
222.073,4.5654e-23,4.53584e-24
225.339,4.95539e-23,4.62359e-24
228.604,2.88522e-23,3.21218e-24
231.87,4.94348e-23,4.47484e-24
235.136,4.41164e-23,4.4124e-24
238.402,4.38286e-23,4.56328e-24
241.668,4.07551e-23,4.12082e-24
244.933,3.0798e-23,3.02452e-24
248.199,4.48257e-23,4.62512e-24
251.465,4.50195e-23,4.35733e-24
254.731,4.86736e-23,4.74878e-24
257.996,2.82651e-23,2.75187e-24
261.262,5.48472e-23,5.06447e-24
264.528,5.58233e-23,5.17571e-24
267.794,5.38232e-23,4.72128e-24
271.06,3.42132e-23,3.38295e-24
274.325,5.81053e-23,4.80396e-24
277.591,6.59964e-23,5.07474e-24
280.857,7.2747e-23,5.46487e-24
284.123,7.39623e-23,7.14251e-24
287.388,8.10333e-23,6.22642e-24
290.654,8.52715e-23,6.56303e-24
293.92,8.55088e-23,6.35203e-24
297.186,8.82064e-23,6.00938e-24
300.452,1.00603e-22,6.63009e-24
303.717,9.80138e-23,5.32459e-24
306.983,1.00606e-22,5.1696e-24
310.249,1.09603e-22,5.86848e-24
313.515,1.25093e-22,6.54942e-24
316.78,1.18449e-22,6.57429e-24
320.046,1.19329e-22,6.95456e-24
323.312,1.23472e-22,7.55248e-24
326.578,1.43004e-22,8.15022e-24
329.844,1.29813e-22,7.38258e-24
333.109,1.25215e-22,6.66107e-24
336.375,1.23317e-22,6.2999e-24
339.641,1.48858e-22,7.42844e-24
342.907,1.42674e-22,7.74669e-24
346.172,1.44652e-22,7.74415e-24
349.438,1.40503e-22,7.84774e-24
352.704,1.49358e-22,9.07378e-24
355.97,2.11654e-22,1.22661e-23
359.236,1.69342e-22,1.03914e-23
362.501,1.66011e-22,1.03322e-23
365.767,1.8081e-22,1.02208e-23
369.033,2.4082e-22,1.16401e-23
372.299,1.85509e-22,9.92576e-24
375.564,1.66207e-22,8.68898e-24
378.83,1.58556e-22,8.17985e-24
382.096,1.72856e-22,9.17661e-24
385.362,1.37291e-22,7.83291e-24
388.628,1.26827e-22,7.56746e-24
391.893,1.21248e-22,7.39329e-24
395.159,1.16673e-22,7.56447e-24
398.425,1.03347e-22,7.43671e-24
401.691,9.93128e-23,6.79803e-24
404.956,8.92497e-23,6.57304e-24
408.222,8.25319e-23,5.95513e-24
411.488,7.28036e-23,5.24743e-24
414.754,8.28219e-23,5.93684e-24
418.02,8.20285e-23,6.17476e-24
421.285,8.16452e-23,5.76859e-24
424.551,7.31459e-23,4.96806e-24
427.817,8.68877e-23,5.66568e-24
431.083,8.83135e-23,5.81071e-24
434.348,8.75953e-23,5.6351e-24
437.614,8.07444e-23,6.07583e-24
440.88,9.09569e-23,6.23274e-24
444.146,9.21962e-23,6.21913e-24
447.412,9.61275e-23,6.57108e-24
450.677,9.29321e-23,7.45126e-24
453.943,9.50492e-23,7.28814e-24
457.209,8.9697e-23,7.31277e-24
460.475,9.08179e-23,7.24323e-24
463.74,9.32948e-23,7.23698e-24
467.006,8.17e-23,7.9254e-24
470.272,9.5885e-23,7.19229e-24
473.538,8.98694e-23,6.4409e-24
476.804,8.99171e-23,6.65947e-24
480.069,7.82498e-23,6.81719e-24
483.335,9.64556e-23,7.12478e-24
486.601,9.09909e-23,6.98683e-24
489.867,9.08988e-23,6.35014e-24
493.132,1.10528e-22,7.97836e-24
496.398,1.00916e-22,6.43722e-24
499.664,1.06411e-22,6.83003e-24
502.93,1.0238e-22,6.44328e-24
506.196,1.00397e-22,6.88151e-24
509.461,1.15628e-22,8.36446e-24
512.727,1.12583e-22,7.50552e-24
515.993,1.07783e-22,7.0849e-24
519.259,1.03035e-22,6.66858e-24
522.524,1.27149e-22,8.14953e-24
525.79,1.03825e-22,6.55445e-24
529.056,9.67145e-23,5.82014e-24
532.322,9.93682e-23,5.62324e-24
535.588,9.51386e-23,5.29973e-24
538.853,9.32264e-23,5.5458e-24
542.119,8.61589e-23,5.28746e-24
