Tau,SF,+-
3.0133,2.69927e-23,8.96079e-25
6.02659,4.57389e-23,1.64509e-24
9.03989,6.06657e-23,2.0451e-24
12.0532,6.98378e-23,2.23313e-24
15.0665,7.06642e-23,2.07956e-24
18.0798,7.38261e-23,2.14734e-24
21.0931,7.2173e-23,2.01973e-24
24.1064,6.49595e-23,2.07221e-24
27.1197,6.69645e-23,2.21692e-24
30.133,6.36654e-23,2.43208e-24
33.1462,7.33039e-23,2.67661e-24
36.1595,7.75304e-23,3.07559e-24
39.1728,8.71621e-23,2.99209e-24
42.1861,9.599e-23,3.3736e-24
45.1994,1.07116e-22,3.50064e-24
48.2127,1.12229e-22,4.21904e-24
51.226,1.0443e-22,3.80897e-24
54.2393,8.98e-23,3.75086e-24
57.2526,8.63053e-23,3.59691e-24
60.2659,9.23517e-23,4.07453e-24
63.2792,1.01222e-22,4.29587e-24
66.2925,1.04864e-22,4.37058e-24
69.3058,1.12526e-22,4.619e-24
72.3191,1.1015e-22,4.48777e-24
75.3324,1.14712e-22,4.45041e-24
78.3457,1.06445e-22,4.55082e-24
81.359,1.15637e-22,4.53624e-24
84.3723,1.12663e-22,4.67084e-24
87.3856,1.22147e-22,4.56513e-24
90.3989,1.25384e-22,5.15085e-24
93.4122,1.28834e-22,5.22909e-24
96.4254,1.28285e-22,5.08509e-24
99.4387,1.24979e-22,5.14534e-24
102.452,1.31817e-22,5.12174e-24
105.465,1.26934e-22,5.13497e-24
108.479,1.25785e-22,4.98519e-24
111.492,1.28373e-22,5.19183e-24
114.505,1.26104e-22,5.01979e-24
117.519,1.34685e-22,5.57841e-24
120.532,1.27433e-22,5.04128e-24
123.545,1.35108e-22,5.20805e-24
126.558,1.27935e-22,4.94207e-24
129.572,1.30725e-22,5.34984e-24
132.585,1.28828e-22,5.07048e-24
135.598,1.29021e-22,5.484e-24
138.612,1.3412e-22,5.25584e-24
141.625,1.33523e-22,5.57288e-24
144.638,1.40975e-22,5.28608e-24
147.651,1.33906e-22,5.32109e-24
150.665,1.37189e-22,5.12315e-24
153.678,1.3015e-22,5.16872e-24
156.691,1.37498e-22,5.24718e-24
159.705,1.43684e-22,5.63754e-24
162.718,1.43731e-22,5.29497e-24
165.731,1.39649e-22,5.49672e-24
168.745,1.43509e-22,5.06503e-24
171.758,1.31641e-22,5.3223e-24
174.771,1.4227e-22,5.34317e-24
177.784,1.37699e-22,5.53164e-24
180.798,1.4501e-22,5.55093e-24
183.811,1.26242e-22,5.58877e-24
186.824,1.38535e-22,5.74153e-24
189.838,1.25791e-22,5.71271e-24
192.851,1.35836e-22,5.9426e-24
195.864,1.27102e-22,5.86183e-24
198.877,1.29019e-22,5.58764e-24
201.891,1.22793e-22,5.5394e-24
204.904,1.23593e-22,5.44909e-24
207.917,1.25795e-22,6.03323e-24
210.931,1.20316e-22,5.39583e-24
213.944,1.27709e-22,6.5778e-24
216.957,1.39082e-22,6.17877e-24
219.971,1.41351e-22,7.02698e-24
222.984,1.48967e-22,6.14454e-24
225.997,1.46844e-22,6.56268e-24
229.01,1.49536e-22,5.91564e-24
232.024,1.48975e-22,6.36144e-24
235.037,1.50254e-22,5.6398e-24
238.05,1.49634e-22,6.31787e-24
241.064,1.51761e-22,6.1404e-24
244.077,1.56046e-22,6.8557e-24
247.09,1.59152e-22,6.43618e-24
250.104,1.63619e-22,7.13603e-24
253.117,1.65533e-22,6.93156e-24
256.13,1.6099e-22,6.88854e-24
259.143,1.60199e-22,6.15274e-24
262.157,1.65779e-22,6.80041e-24
265.17,1.70791e-22,6.27586e-24
268.183,1.67924e-22,7.13208e-24
271.197,1.75246e-22,6.70042e-24
274.21,1.82555e-22,7.85523e-24
277.223,1.77845e-22,7.08094e-24
280.236,1.88579e-22,7.78796e-24
283.25,1.78924e-22,7.26347e-24
286.263,1.80428e-22,7.43682e-24
289.276,1.73759e-22,6.91449e-24
292.29,1.73594e-22,7.21569e-24
295.303,1.7688e-22,6.97599e-24
298.316,1.74456e-22,7.2211e-24
301.33,1.78472e-22,7.17962e-24
304.343,1.7524e-22,7.6306e-24
307.356,1.85385e-22,7.73365e-24
310.369,1.88248e-22,9.24236e-24
313.383,1.7769e-22,7.45382e-24
316.396,1.76606e-22,7.70697e-24
319.409,1.74661e-22,7.02769e-24
322.423,1.81787e-22,7.71375e-24
325.436,1.77708e-22,7.59586e-24
328.449,1.80727e-22,7.51916e-24
331.462,1.75099e-22,7.40407e-24
334.476,1.75744e-22,7.82477e-24
337.489,1.71311e-22,7.23104e-24
340.502,1.70448e-22,7.62217e-24
343.516,1.66716e-22,7.15514e-24
346.529,1.63157e-22,7.25756e-24
349.542,1.71437e-22,7.49511e-24
352.556,1.79352e-22,7.92586e-24
355.569,1.77828e-22,8.05283e-24
358.582,1.86733e-22,8.26789e-24
361.595,1.7392e-22,8.47745e-24
364.609,1.94748e-22,8.78341e-24
367.622,1.86132e-22,8.8658e-24
370.635,1.84673e-22,7.98409e-24
373.649,1.78932e-22,8.20025e-24
376.662,1.78261e-22,7.6153e-24
379.675,1.80017e-22,8.21025e-24
382.688,1.80447e-22,7.70859e-24
385.702,1.82648e-22,8.6264e-24
388.715,1.76773e-22,7.85497e-24
391.728,1.86766e-22,9.33791e-24
394.742,1.84513e-22,7.90086e-24
397.755,1.90857e-22,9.39491e-24
400.768,1.88087e-22,8.18675e-24
403.782,1.70395e-22,8.91047e-24
406.795,1.79425e-22,8.16478e-24
409.808,1.67346e-22,8.88536e-24
412.821,1.69879e-22,8.22819e-24
415.835,1.65125e-22,8.72949e-24
418.848,1.70215e-22,7.92128e-24
421.861,1.77258e-22,8.9377e-24
424.875,1.80732e-22,8.06182e-24
427.888,1.91686e-22,9.16338e-24
430.901,1.81618e-22,7.92346e-24
433.915,1.82166e-22,8.78149e-24
436.928,1.78484e-22,8.05326e-24
439.941,1.7489e-22,8.9809e-24
442.954,1.76958e-22,7.76592e-24
445.968,1.70237e-22,8.90167e-24
448.981,1.77678e-22,8.04997e-24
451.994,1.66568e-22,8.71978e-24
455.008,1.79146e-22,8.30604e-24
458.021,1.72432e-22,8.73759e-24
461.034,1.59802e-22,7.72223e-24
464.047,1.58352e-22,8.23309e-24
467.061,1.50454e-22,7.48603e-24
470.074,1.4673e-22,7.61294e-24
473.087,1.55861e-22,6.94653e-24
476.101,1.56932e-22,7.59836e-24
479.114,1.69588e-22,7.09326e-24
482.127,1.56518e-22,7.58315e-24
485.141,1.70461e-22,7.03776e-24
488.154,1.59113e-22,7.64898e-24
491.167,1.65862e-22,6.85958e-24
494.18,1.48219e-22,7.08517e-24
497.194,1.57116e-22,6.94276e-24
500.207,1.43066e-22,7.02117e-24
503.22,1.54806e-22,7.0073e-24
506.234,1.55904e-22,7.35696e-24
509.247,1.5607e-22,7.08941e-24
512.26,1.53408e-22,7.26314e-24
515.273,1.60248e-22,7.00916e-24
518.287,1.45749e-22,6.79367e-24
521.3,1.59314e-22,6.93153e-24
524.313,1.43976e-22,6.92448e-24
527.327,1.56901e-22,6.71607e-24
530.34,1.52364e-22,7.03108e-24
533.353,1.6401e-22,7.01953e-24
