Tau,SF,+-
2.69598,2.35438e-22,7.98016e-24
5.39197,2.49627e-22,8.81876e-24
8.08795,2.52324e-22,8.99258e-24
10.7839,2.86366e-22,1.01242e-23
13.4799,2.92592e-22,1.04499e-23
16.1759,2.97747e-22,1.07385e-23
18.8719,3.1149e-22,1.1171e-23
21.5679,3.13274e-22,1.13179e-23
24.2638,2.94616e-22,1.05413e-23
26.9598,3.0181e-22,1.03194e-23
29.6558,3.12466e-22,1.18049e-23
32.3518,3.08093e-22,1.17998e-23
35.0478,3.13619e-22,1.10677e-23
37.7438,3.17478e-22,1.31836e-23
40.4397,3.03009e-22,1.21724e-23
43.1357,2.98192e-22,1.12985e-23
45.8317,2.98541e-22,1.2415e-23
48.5277,3.01323e-22,1.23278e-23
51.2237,3.02387e-22,1.32819e-23
53.9197,3.17666e-22,1.41496e-23
56.6156,3.27544e-22,1.40347e-23
59.3116,3.20514e-22,1.41095e-23
62.0076,3.36041e-22,1.47824e-23
64.7036,3.45664e-22,1.57286e-23
67.3996,3.24407e-22,1.36879e-23
70.0955,3.27341e-22,1.58389e-23
72.7915,3.3895e-22,1.48053e-23
75.4875,3.30693e-22,1.37835e-23
78.1835,3.28373e-22,1.48513e-23
80.8795,3.26548e-22,1.4856e-23
83.5755,3.2241e-22,1.38567e-23
86.2714,3.2819e-22,1.59108e-23
88.9674,3.23196e-22,1.38561e-23
91.6634,3.09831e-22,1.36297e-23
94.3594,3.07235e-22,1.46391e-23
97.0554,3.26686e-22,1.43714e-23
99.7514,3.2086e-22,1.4503e-23
102.447,3.2592e-22,1.57257e-23
105.143,3.37715e-22,1.67678e-23
107.839,3.4359e-22,1.56376e-23
110.535,3.56234e-22,1.64144e-23
113.231,3.56132e-22,1.70337e-23
115.927,3.53664e-22,1.64287e-23
118.623,3.59536e-22,1.69805e-23
121.319,3.32936e-22,1.41196e-23
124.015,3.487e-22,1.57204e-23
126.711,3.6568e-22,1.60199e-23
129.407,3.44947e-22,1.56426e-23
132.103,3.43854e-22,1.59099e-23
134.799,3.52478e-22,1.52557e-23
137.495,3.51297e-22,1.69367e-23
140.191,3.57297e-22,1.50797e-23
142.887,3.60394e-22,1.59625e-23
145.583,3.48894e-22,1.6263e-23
148.279,3.60148e-22,1.60295e-23
150.975,3.54012e-22,1.5244e-23
153.671,3.40231e-22,1.52852e-23
156.367,3.62519e-22,1.66223e-23
159.063,3.41511e-22,1.5724e-23
161.759,3.54493e-22,1.72098e-23
164.455,3.55665e-22,1.59118e-23
167.151,3.62692e-22,1.58896e-23
169.847,3.68011e-22,1.83101e-23
172.543,3.42206e-22,1.53211e-23
175.239,3.34389e-22,1.47783e-23
177.935,3.4804e-22,1.72045e-23
180.631,3.44423e-22,1.55724e-23
183.327,3.37099e-22,1.48889e-23
186.023,3.30438e-22,1.67297e-23
188.719,3.44068e-22,1.51254e-23
191.415,3.55038e-22,1.60609e-23
194.111,3.66207e-22,1.73985e-23
196.807,3.69632e-22,1.68789e-23
199.503,3.62359e-22,1.68308e-23
202.199,3.85068e-22,1.90714e-23
204.895,3.66465e-22,1.67437e-23
207.591,3.76609e-22,1.71857e-23
210.287,3.84147e-22,1.7776e-23
212.983,3.71522e-22,1.65614e-23
215.679,3.66889e-22,1.62002e-23
218.375,3.68387e-22,1.77307e-23
221.071,3.75559e-22,1.55612e-23
223.767,3.89689e-22,1.75107e-23
226.463,3.9996e-22,1.80207e-23
229.159,3.8363e-22,1.73413e-23
231.855,3.76905e-22,1.74786e-23
234.55,3.88467e-22,1.74531e-23
237.246,3.92329e-22,1.81051e-23
239.942,3.93867e-22,1.79736e-23
242.638,3.98252e-22,1.8436e-23
245.334,4.01026e-22,1.80153e-23
248.03,3.90114e-22,1.7669e-23
250.726,4.00352e-22,1.86858e-23
253.422,3.89292e-22,1.69739e-23
256.118,3.80674e-22,1.68768e-23
258.814,3.96315e-22,1.84263e-23
261.51,3.99912e-22,1.76584e-23
264.206,3.85625e-22,1.68255e-23
266.902,3.90089e-22,1.67143e-23
269.598,3.91895e-22,1.80425e-23
272.294,3.8806e-22,1.71436e-23
274.99,3.89697e-22,1.71729e-23
277.686,3.83413e-22,1.77336e-23
280.382,3.54418e-22,1.59072e-23
283.078,3.65178e-22,1.65694e-23
285.774,3.69286e-22,1.79886e-23
288.47,3.56812e-22,1.6168e-23
291.166,3.58315e-22,1.65305e-23
293.862,3.68907e-22,1.83236e-23
296.558,3.5155e-22,1.56168e-23
299.254,3.5816e-22,1.58324e-23
301.95,3.707e-22,1.85613e-23
304.646,3.44969e-22,1.5856e-23
307.342,3.57769e-22,1.59742e-23
310.038,3.6776e-22,1.85533e-23
312.734,3.41952e-22,1.56619e-23
315.43,3.35754e-22,1.5334e-23
318.126,3.27235e-22,1.54624e-23
320.822,3.26345e-22,1.41381e-23
323.518,3.2504e-22,1.45516e-23
326.214,3.31988e-22,1.56381e-23
328.91,3.32827e-22,1.50449e-23
331.606,3.34988e-22,1.43069e-23
334.302,3.44059e-22,1.57074e-23
336.998,3.32553e-22,1.49522e-23
339.694,3.40426e-22,1.51689e-23
342.39,3.36157e-22,1.54116e-23
345.086,3.22277e-22,1.41261e-23
347.782,3.30312e-22,1.5399e-23
350.478,3.42699e-22,1.46116e-23
353.174,3.43727e-22,1.40371e-23
355.87,3.24087e-22,1.40226e-23
358.566,3.56667e-22,1.55036e-23
361.262,3.57495e-22,1.59757e-23
363.958,3.53361e-22,1.55927e-23
366.654,3.23528e-22,1.4637e-23
369.35,3.23389e-22,1.51374e-23
372.046,3.19871e-22,1.50988e-23
