Tau,SF,+-
2.96505,2.03324e-22,8.45835e-24
5.9301,3.54342e-22,1.44024e-23
8.89515,4.32556e-22,2.16203e-23
11.8602,5.06655e-22,2.46268e-23
14.8253,6.03492e-22,2.87957e-23
17.7903,6.28831e-22,3.02293e-23
20.7554,6.07264e-22,3.09904e-23
23.7204,6.68997e-22,3.26733e-23
26.6855,7.39268e-22,3.24972e-23
29.6505,6.91632e-22,3.29968e-23
32.6156,6.7299e-22,3.42566e-23
35.5806,8.0799e-22,4.063e-23
38.5457,8.91357e-22,4.07361e-23
41.5107,9.32677e-22,4.36395e-23
44.4758,1.00229e-21,4.75169e-23
47.4408,1.03629e-21,5.0592e-23
50.4059,1.06962e-21,5.44161e-23
53.3709,1.0462e-21,5.50091e-23
56.336,1.07556e-21,6.20704e-23
59.301,1.18591e-21,6.28969e-23
62.2661,1.22909e-21,6.38115e-23
65.2311,1.14749e-21,6.23245e-23
68.1962,1.2171e-21,6.70192e-23
71.1612,1.21803e-21,6.05311e-23
74.1263,1.21227e-21,6.23754e-23
77.0913,1.24747e-21,6.83531e-23
80.0564,1.41751e-21,7.90177e-23
83.0214,1.44242e-21,7.73953e-23
85.9865,1.45856e-21,8.56766e-23
88.9515,1.57011e-21,1.01672e-22
91.9166,1.57895e-21,9.27179e-23
94.8816,1.62137e-21,9.25249e-23
97.8467,1.64906e-21,9.06e-23
100.812,1.73067e-21,9.08137e-23
103.777,1.73914e-21,9.08249e-23
106.742,1.82931e-21,9.78742e-23
109.707,1.82618e-21,9.42468e-23
112.672,1.91204e-21,9.56083e-23
115.637,1.89257e-21,9.24468e-23
118.602,1.92319e-21,1.07137e-22
121.567,1.8077e-21,1.01124e-22
124.532,1.9402e-21,1.0445e-22
127.497,1.83825e-21,9.71262e-23
130.462,1.82808e-21,1.01825e-22
133.427,1.95202e-21,1.06739e-22
136.392,2.04859e-21,1.06877e-22
139.357,1.88262e-21,1.03255e-22
142.322,1.9427e-21,1.07418e-22
145.287,2.0769e-21,1.1394e-22
148.253,2.10833e-21,1.12714e-22
151.218,2.08246e-21,1.16608e-22
154.183,2.10301e-21,1.18536e-22
157.148,2.21158e-21,1.14529e-22
160.113,2.19111e-21,1.15454e-22
163.078,2.15986e-21,1.15502e-22
166.043,2.19294e-21,1.16521e-22
169.008,2.14839e-21,1.02472e-22
171.973,2.23705e-21,1.18455e-22
174.938,2.10231e-21,1.11547e-22
177.903,2.0185e-21,1.05216e-22
180.868,2.09584e-21,1.04255e-22
183.833,1.98961e-21,1.07998e-22
186.798,1.98807e-21,1.08463e-22
189.763,1.96712e-21,1.00798e-22
192.728,1.93272e-21,9.4448e-23
195.693,1.98501e-21,1.01827e-22
198.658,1.88352e-21,1.04994e-22
201.623,2.01693e-21,1.03446e-22
204.589,2.01514e-21,1.07981e-22
207.554,1.94239e-21,1.06635e-22
210.519,1.9656e-21,1.06784e-22
213.484,2.07254e-21,1.085e-22
216.449,2.08378e-21,1.08764e-22
219.414,2.16016e-21,1.11416e-22
222.379,2.30555e-21,1.25127e-22
225.344,2.31471e-21,1.23725e-22
228.309,2.23817e-21,1.28627e-22
231.274,2.23302e-21,1.31692e-22
234.239,2.22328e-21,1.19327e-22
237.204,2.28144e-21,1.18985e-22
240.169,2.34544e-21,1.26637e-22
243.134,2.35401e-21,1.22803e-22
246.099,2.33832e-21,1.18838e-22
249.064,2.28134e-21,1.21442e-22
252.029,2.18975e-21,1.17178e-22
254.994,2.11358e-21,1.11571e-22
257.959,2.09501e-21,1.09812e-22
260.924,2.12627e-21,1.12186e-22
263.89,2.05723e-21,1.16898e-22
266.855,1.98056e-21,1.04477e-22
269.82,2.01304e-21,1.06016e-22
272.785,1.9985e-21,1.0645e-22
275.75,1.94313e-21,1.06489e-22
278.715,1.93554e-21,9.15179e-23
281.68,1.98631e-21,9.38022e-23
284.645,1.926e-21,9.47852e-23
287.61,1.82317e-21,8.62939e-23
290.575,1.91379e-21,8.9684e-23
293.54,1.89706e-21,9.26106e-23
296.505,1.89306e-21,9.20958e-23
299.47,1.91391e-21,8.60934e-23
302.435,1.97569e-21,8.54408e-23
305.4,1.92048e-21,8.85618e-23
308.365,1.86892e-21,8.39165e-23
311.33,1.93396e-21,8.46603e-23
314.295,2.03728e-21,8.82012e-23
317.26,1.99413e-21,9.22378e-23
320.225,1.89507e-21,8.30601e-23
323.191,1.97157e-21,8.38914e-23
326.156,1.84418e-21,8.16285e-23
329.121,1.86905e-21,8.78489e-23
332.086,1.88292e-21,8.40366e-23
335.051,1.87576e-21,8.21822e-23
338.016,1.84998e-21,9.02291e-23
340.981,1.67495e-21,7.95939e-23
343.946,1.68145e-21,7.23922e-23
346.911,1.69618e-21,7.45212e-23
