Tau,SF,+-
2.62152,3.00005e-23,1.48514e-24
5.24303,3.94354e-23,1.99347e-24
7.86455,4.21326e-23,1.93858e-24
10.4861,4.31097e-23,1.76994e-24
13.1076,4.28151e-23,1.73763e-24
15.7291,4.54574e-23,2.08926e-24
18.3506,5.18276e-23,2.18108e-24
20.9721,5.70301e-23,2.57018e-24
23.5936,5.42961e-23,2.32463e-24
26.2152,5.02474e-23,2.37013e-24
28.8367,5.29894e-23,2.39092e-24
31.4582,5.35366e-23,2.40344e-24
34.0797,5.8882e-23,2.92958e-24
36.7012,6.0271e-23,2.69267e-24
39.3227,5.62475e-23,2.54535e-24
41.9443,5.2577e-23,2.59217e-24
44.5658,5.73435e-23,2.51805e-24
47.1873,6.50185e-23,3.16619e-24
49.8088,6.61695e-23,3.29157e-24
52.4303,6.56092e-23,3.31403e-24
55.0518,6.6135e-23,3.25089e-24
57.6734,6.32401e-23,3.48876e-24
60.2949,7.01167e-23,4.09963e-24
62.9164,7.46438e-23,4.8064e-24
65.5379,6.55047e-23,3.13444e-24
68.1594,6.14546e-23,2.90248e-24
70.7809,6.53033e-23,2.95264e-24
73.4024,6.63898e-23,3.03821e-24
76.024,6.50134e-23,3.10875e-24
78.6455,6.71775e-23,3.10141e-24
81.267,7.2229e-23,3.25396e-24
83.8885,7.16765e-23,3.62548e-24
86.51,7.13453e-23,3.23812e-24
89.1315,7.38286e-23,3.32581e-24
91.7531,6.69686e-23,3.30765e-24
94.3746,6.89102e-23,3.51755e-24
96.9961,7.04374e-23,3.25267e-24
99.6176,6.72486e-23,3.21165e-24
102.239,6.81432e-23,3.35466e-24
104.861,6.7026e-23,3.06539e-24
107.482,7.01662e-23,3.38835e-24
110.104,7.08535e-23,3.63158e-24
112.725,7.34181e-23,3.54997e-24
115.347,7.25102e-23,3.50823e-24
117.968,7.22872e-23,3.72191e-24
120.59,7.20867e-23,3.36389e-24
123.211,7.47132e-23,3.39111e-24
125.833,7.38618e-23,3.73232e-24
128.454,7.51279e-23,3.61897e-24
131.076,7.62182e-23,3.25076e-24
133.697,7.62619e-23,3.65272e-24
136.319,7.60561e-23,3.49614e-24
138.94,7.88008e-23,3.31957e-24
141.562,7.61981e-23,3.715e-24
144.183,7.82282e-23,3.88645e-24
146.805,7.66675e-23,3.33628e-24
149.426,7.59123e-23,3.5081e-24
152.048,7.49576e-23,3.56407e-24
154.669,7.803e-23,3.63681e-24
157.291,7.5873e-23,3.36275e-24
159.912,7.34131e-23,3.61554e-24
162.534,7.15117e-23,3.32892e-24
165.156,7.71748e-23,3.6398e-24
167.777,7.26602e-23,3.85517e-24
170.399,7.36556e-23,3.62764e-24
173.02,7.63008e-23,3.37972e-24
175.642,7.39855e-23,3.53512e-24
178.263,7.56261e-23,3.90763e-24
180.885,7.81528e-23,3.55414e-24
183.506,7.50011e-23,3.59258e-24
186.128,7.79039e-23,4.04076e-24
188.749,8.19563e-23,3.83746e-24
191.371,8.00351e-23,3.85176e-24
193.992,7.57894e-23,3.90186e-24
196.614,8.05937e-23,3.62814e-24
199.235,7.99369e-23,3.80482e-24
201.857,8.10595e-23,3.89037e-24
204.478,7.87602e-23,3.48078e-24
207.1,7.90898e-23,3.62111e-24
209.721,7.77179e-23,3.75014e-24
212.343,8.04828e-23,3.68776e-24
214.964,8.49776e-23,3.76252e-24
217.586,8.09881e-23,3.99722e-24
220.207,8.0839e-23,3.91813e-24
222.829,8.10149e-23,3.76107e-24
225.45,7.87479e-23,3.97256e-24
228.072,8.05843e-23,3.99301e-24
230.693,8.36446e-23,4.12879e-24
233.315,8.4744e-23,4.01921e-24
235.936,7.9852e-23,3.92772e-24
238.558,8.3713e-23,4.02171e-24
241.179,8.49361e-23,3.98393e-24
243.801,8.56869e-23,4.3991e-24
246.423,9.26902e-23,4.36439e-24
249.044,8.56815e-23,3.95256e-24
251.666,8.05048e-23,3.93593e-24
254.287,8.65603e-23,4.10243e-24
256.909,8.69229e-23,4.0623e-24
259.53,8.86705e-23,4.29981e-24
262.152,9.1606e-23,4.51345e-24
264.773,8.60117e-23,4.13329e-24
267.395,8.45361e-23,4.02314e-24
270.016,8.96693e-23,4.74181e-24
272.638,9.18244e-23,4.60808e-24
275.259,8.68379e-23,4.09707e-24
277.881,8.50559e-23,4.32093e-24
